CustomerID,Recency,Frequency,MonetaryValue,Cluster,Segment
12346.0,326,1,77183.6,3,Loyal Customers
12347.0,2,182,4310.0,1,Champions
12348.0,75,31,1797.24,3,Loyal Customers
12349.0,19,73,1757.55,3,Loyal Customers
12350.0,310,17,334.4,2,Hibernating
12352.0,36,85,2506.04,3,Loyal Customers
12353.0,204,4,89.0,2,Hibernating
12354.0,232,58,1079.4,3,Loyal Customers
12355.0,214,13,459.4,2,Hibernating
12356.0,23,59,2811.43,3,Loyal Customers
12357.0,33,131,6207.67,1,Champions
12358.0,2,19,1168.06,0,New/Recent Customers
12359.0,58,248,6372.58,1,Champions
12360.0,52,129,2662.06,3,Loyal Customers
12361.0,287,10,189.9,2,Hibernating
12362.0,3,266,5226.23,1,Champions
12363.0,110,23,552.0,2,Hibernating
12364.0,8,85,1313.1,1,Champions
12365.0,291,22,641.38,2,Hibernating
12367.0,4,11,168.9,0,New/Recent Customers
12370.0,51,167,3545.69,3,Loyal Customers
12371.0,45,63,1887.96,3,Loyal Customers
12372.0,72,52,1298.04,3,Loyal Customers
12373.0,311,14,364.6,2,Hibernating
12374.0,25,33,742.9300000000001,0,New/Recent Customers
12375.0,11,17,457.5,0,New/Recent Customers
12377.0,315,77,1628.12,3,Loyal Customers
12378.0,130,219,4008.62,3,Loyal Customers
12379.0,82,40,852.24,3,Loyal Customers
12380.0,22,104,2724.81,1,Champions
12381.0,5,87,1845.31,1,Champions
12383.0,185,99,1850.56,3,Loyal Customers
12384.0,29,27,585.27,0,New/Recent Customers
12386.0,338,10,401.9,2,Hibernating
12388.0,16,100,2780.66,1,Champions
12390.0,80,32,549.84,3,Loyal Customers
12391.0,22,100,460.89,0,New/Recent Customers
12393.0,72,64,1582.6000000000001,3,Loyal Customers
12394.0,64,27,1272.48,3,Loyal Customers
12395.0,19,156,3018.63,1,Champions
12397.0,36,126,2409.9,3,Loyal Customers
12398.0,46,85,1635.6599999999999,3,Loyal Customers
12399.0,119,59,1108.65,3,Loyal Customers
12401.0,303,5,84.3,2,Hibernating
12402.0,323,11,225.6,2,Hibernating
12403.0,50,5,427.7,2,Hibernating
12405.0,149,54,1710.39,3,Loyal Customers
12406.0,22,105,3415.3,1,Champions
12407.0,50,77,1708.1200000000001,3,Loyal Customers
12408.0,33,105,2888.55,3,Loyal Customers
12409.0,79,109,11072.67,3,Loyal Customers
12410.0,309,26,693.3299999999999,2,Hibernating
12412.0,75,61,1226.88,3,Loyal Customers
12413.0,67,38,758.1,3,Loyal Customers
12414.0,217,18,562.41,2,Hibernating
12415.0,24,716,124914.53,1,Champions
12417.0,3,192,3649.1,1,Champions
12418.0,113,34,668.58,3,Loyal Customers
12420.0,64,29,600.39,3,Loyal Customers
12421.0,16,45,807.04,0,New/Recent Customers
12422.0,96,39,803.5600000000001,3,Loyal Customers
12423.0,1,125,1859.31,1,Champions
12424.0,163,30,1760.96,3,Loyal Customers
12425.0,78,36,777.2,3,Loyal Customers
12426.0,195,30,582.73,2,Hibernating
12427.0,22,31,825.8,0,New/Recent Customers
12428.0,26,294,7956.46,1,Champions
12429.0,9,97,3750.4,1,Champions
12430.0,43,11,256.4,2,Hibernating
12431.0,36,236,6487.45,1,Champions
12432.0,43,108,5059.32,1,Champions
12433.0,1,420,13375.87,1,Champions
12434.0,85,50,806.14,3,Loyal Customers
12435.0,80,36,7829.89,3,Loyal Customers
12436.0,100,16,509.01,2,Hibernating
12437.0,2,200,4951.41,1,Champions
12438.0,14,98,2906.85,1,Champions
12441.0,367,11,173.55,2,Hibernating
12442.0,3,12,172.06,0,New/Recent Customers
12444.0,21,177,5005.46,1,Champions
12445.0,22,4,133.4,2,Hibernating
12446.0,58,58,1002.3100000000001,3,Loyal Customers
12447.0,243,26,476.49,2,Hibernating
12448.0,44,22,449.45,0,New/Recent Customers
12449.0,22,191,4067.29,1,Champions
12450.0,156,8,197.88,2,Hibernating
12451.0,11,354,9035.52,1,Champions
12452.0,17,22,430.57,0,New/Recent Customers
12453.0,134,43,707.09,3,Loyal Customers
12454.0,56,15,3528.34,3,Loyal Customers
12455.0,73,90,2466.86,3,Loyal Customers
12456.0,44,125,3181.04,3,Loyal Customers
12457.0,66,63,2363.23,3,Loyal Customers
12458.0,71,38,947.4,3,Loyal Customers
12461.0,94,35,826.88,3,Loyal Customers
12462.0,19,62,1189.59,0,New/Recent Customers
12463.0,53,83,1344.78,3,Loyal Customers
12464.0,10,29,1212.05,0,New/Recent Customers
12465.0,17,47,742.1899999999999,0,New/Recent Customers
12468.0,188,38,729.5400000000001,3,Loyal Customers
12471.0,2,460,19824.05,1,Champions
12472.0,32,339,6572.11,1,Champions
12473.0,29,168,3938.5499999999997,1,Champions
12474.0,17,424,7375.79,1,Champions
12475.0,54,36,723.38,3,Loyal Customers
